frame_index,time_epoch,src_ip,dst_ip,src_port,dst_port,direction,payload_bytes,syn,fin,rst,ack,probable_retransmission
223,1781798344.5142565,PRIVATE_IP_001,PRIVATE_IP_011,47544,502,query,0,1,0,0,0,0
224,1781798344.5892284,PRIVATE_IP_001,PRIVATE_IP_022,60550,502,query,12,0,0,0,1,0
225,1781798344.597767,PRIVATE_IP_022,PRIVATE_IP_001,502,60550,response,181,0,0,0,1,0
226,1781798344.5978842,PRIVATE_IP_001,PRIVATE_IP_022,60550,502,query,0,0,0,0,1,0
227,1781798344.6013982,PRIVATE_IP_001,PRIVATE_IP_022,60550,502,query,12,0,0,0,1,0
228,1781798344.6105404,PRIVATE_IP_022,PRIVATE_IP_001,502,60550,response,181,0,0,0,1,0
229,1781798344.6512702,PRIVATE_IP_001,PRIVATE_IP_022,60550,502,query,0,0,0,0,1,0
230,1781798344.9928975,PRIVATE_IP_001,PRIVATE_IP_016,38378,502,query,0,1,0,0,0,0
231,1781798344.99295,PRIVATE_IP_001,PRIVATE_IP_018,41246,502,query,0,1,0,0,0,0
232,1781798344.992985,PRIVATE_IP_001,PRIVATE_IP_019,41086,502,query,0,1,0,0,0,0
233,1781798344.993047,PRIVATE_IP_001,PRIVATE_IP_021,38984,502,query,0,1,0,0,0,0
234,1781798344.9930723,PRIVATE_IP_001,PRIVATE_IP_016,38394,502,query,0,1,0,0,0,0
235,1781798344.9930942,PRIVATE_IP_001,PRIVATE_IP_022,35212,502,query,0,1,0,0,0,0
236,1781798344.995355,PRIVATE_IP_018,PRIVATE_IP_001,502,41246,response,0,1,0,0,1,0
237,1781798344.9954314,PRIVATE_IP_001,PRIVATE_IP_018,41246,502,query,0,0,0,0,1,0
238,1781798344.9958756,PRIVATE_IP_001,PRIVATE_IP_018,41246,502,query,0,0,1,0,1,0
239,1781798344.9960048,PRIVATE_IP_016,PRIVATE_IP_001,502,38378,response,0,1,0,0,1,0
240,1781798344.9960878,PRIVATE_IP_001,PRIVATE_IP_016,38378,502,query,0,0,0,0,1,0
241,1781798344.996136,PRIVATE_IP_021,PRIVATE_IP_001,502,38984,response,0,1,0,0,1,0
242,1781798344.9961708,PRIVATE_IP_001,PRIVATE_IP_021,38984,502,query,0,0,0,0,1,0
243,1781798344.9962606,PRIVATE_IP_019,PRIVATE_IP_001,502,41086,response,0,1,0,0,1,0
244,1781798344.996298,PRIVATE_IP_001,PRIVATE_IP_019,41086,502,query,0,0,0,0,1,0
245,1781798344.9963334,PRIVATE_IP_022,PRIVATE_IP_001,502,35212,response,0,1,0,0,1,0
246,1781798344.9963655,PRIVATE_IP_001,PRIVATE_IP_022,35212,502,query,0,0,0,0,1,0
247,1781798344.9966826,PRIVATE_IP_001,PRIVATE_IP_016,38378,502,query,0,0,1,0,1,0
248,1781798344.9967525,PRIVATE_IP_001,PRIVATE_IP_021,38984,502,query,0,0,1,0,1,0
249,1781798344.9967945,PRIVATE_IP_001,PRIVATE_IP_019,41086,502,query,0,0,1,0,1,0
250,1781798344.9968305,PRIVATE_IP_001,PRIVATE_IP_022,35212,502,query,0,0,1,0,1,0
251,1781798344.9977622,PRIVATE_IP_016,PRIVATE_IP_001,502,38394,response,0,1,0,0,1,0
252,1781798344.9978375,PRIVATE_IP_001,PRIVATE_IP_016,38394,502,query,0,0,0,0,1,0
253,1781798344.9978511,PRIVATE_IP_001,PRIVATE_IP_016,38394,502,query,0,0,1,0,1,0
254,1781798344.9993317,PRIVATE_IP_021,PRIVATE_IP_001,502,38984,response,0,0,0,0,1,0
