procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0   4132 1409336 406904 21074516    0    0     0   212 2704 2255  4  2 94  0  0  0
 0  0   4132 1415476 406904 21074532    0    0     0    84 2828 2340  5  2 93  0  0  0
 1  0   4132 1408220 406904 21074576    0    0     0  1160 5628 5016  7  5 88  0  0  0
 0  0   4132 1406232 406904 21074600    0    0     0   100 2939 2338  5  2 93  0  0  0
 0  0   4132 1405476 406904 21074628    0    0     0   244 2676 2275  4  2 94  0  0  0
 0  0   4132 1412156 406904 21074636    0    0     0    80 2721 2242  4  2 94  0  0  0
 1  0   4132 1409412 406904 21074676    0    0     0   536 2830 2248  5  3 93  0  0  0
 1  0   4132 1405248 406904 21074676    0    0     0   180 3821 3201  6  4 90  0  0  0
 0  0   4132 1414072 406904 21074856    0    0     0   828 4199 3925  5  3 92  0  0  0
 2  0   4132 1411696 406904 21074868    0    0     0   340 3416 2501  8  2 89  0  0  0
 1  0   4132 1409468 406904 21074912    0    0     0   108 2557 2156  4  2 94  0  0  0
 0  0   4132 1412852 406908 21074912    0    0     0   544 2679 2182  4  2 93  0  0  0
 0  0   4132 1409500 406908 21074944    0    0     0   120 3084 2356  4  2 93  0  0  0
 0  0   4132 1414168 406908 21074968    0    0     0   196 4323 3248  6  5 89  0  0  0
 0  0   4132 1412404 406908 21075008    0    0     0   172 2849 2258  5  2 93  0  0  0
 1  0   4132 1411904 406908 21075020    0    0     0   188 2731 2155  4  2 94  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0   4132 1418384 406908 21075064    0    0     0   112 2714 2097  5  2 93  0  0  0
 1  0   4132 1416376 406908 21075092    0    0     0    96 2451 2010  4  2 94  0  0  0
 0  0   4132 1413604 406908 21075128    0    0     0   948 3867 3106  5  4 91  0  0  0
 3  0   4132 1416128 406908 21075128    0    0     0    80 5075 4731 10  3 87  0  0  0
 1  0   4132 1413860 406908 21075172    0    0     0   252 2805 2244  5  2 93  0  0  0
 0  0   4132 1410420 406908 21075200    0    0     0   208 5503 5942  7  4 89  0  0  0
 0  0   4132 1407680 406908 21075220    0    0     0   476 2688 2161  5  2 93  0  0  0
 1  0   4132 1420172 406908 21075236    0    0     0  1152 4008 3049  6  4 91  0  0  0
 1  0   4132 1417044 406908 21075276    0    0     0   140 2565 2080  4  2 94  0  0  0
 0  0   4132 1414808 406908 21075284    0    0     0   220 3268 2770  5  3 92  0  0  0
 1  0   4132 1413788 406908 21075328    0    0     0   112 2768 2254  4  2 94  0  0  0
 0  0   4132 1411272 406908 21075356    0    0     0   244 2932 2306  5  2 93  0  0  0
 0  0   4132 1405452 406908 21075364    0    0     0   220 3575 2842  5  4 91  0  0  0
 1  0   4132 1403524 406908 21075412    0    0     0   712 4301 4289  5  3 92  0  0  0
 0  0   4132 1401508 406908 21075420    0    0     0   368 3178 2365  8  2 90  0  0  0
 1  0   4132 1401284 406908 21075452    0    0     0    72 2621 2378  4  2 94  0  0  0
 0  0   4132 1406076 406908 21075476    0    0     0   256 4304 4291  5  3 92  0  0  0
 0  0   4132 1403332 406908 21075496    0    0     0   172 2691 2077  4  2 94  0  0  0
 0  0   4132 1402072 406908 21075532    0    0     0   156 4045 3238  6  4 90  0  0  0
 0  0   4132 1400308 406908 21075556    0    0     0   196 2965 2310  4  3 93  0  0  0
 0  0   4132 1398292 406908 21075584    0    0     0   100 2643 2009  4  2 94  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0   4132 1403236 406912 21075596    0    0     0   240 2615 2100  4  2 94  0  0  0
 0  0   4132 1402128 406912 21075648    0    0     0   196 4013 3901  5  3 92  0  0  0
 0  0   4132 1404156 406912 21075672    0    0     0   928 4389 3299  6  5 89  0  0  0
 0  0   4132 1406640 406912 21075692    0    0     0   256 2667 2096  5  2 93  0  0  0
 0  0   4132 1413104 406912 21075708    0    0     0   204 3415 2448  8  2 89  0  0  0
 0  0   4132 1410140 406912 21075744    0    0     0   280 2842 2287  5  2 93  0  0  0
 2  0   4132 1407624 406912 21075756    0    0     0   144 2522 2053  4  2 94  0  0  0
 0  0   4132 1411868 406912 21075792    0    0     0  1180 4383 3279  7  4 90  0  0  0
 0  0   4132 1409128 406912 21075808    0    0     0   192 3046 2453  5  2 93  0  0  0
 2  0   4132 1409128 406912 21075836    0    0     0   120 2809 2194  5  2 93  0  0  0
 0  0   4132 1413208 406912 21075852    0    0     0   236 2647 2112  4  2 94  0  0  0
 0  0   4132 1410376 406912 21075896    0    0     0   164 2744 2131  4  2 93  0  0  0
 0  0   4132 1405608 406912 21075924    0    0     0   136 4669 4597  6  4 90  0  0  0
 0  0   4132 1403620 406912 21075960    0    0     0   800 2774 2202  4  2 93  0  0  0
 0  0   4132 1411232 406912 21075988    0    0     0   184 5221 5630  6  4 90  0  0  0
 0  0   4132 1411360 406912 21076008    0    0     0   128 3546 2554  9  2 89  0  0  0
 0  0   4132 1413152 406912 21076024    0    0     0   132 2897 2390  5  3 92  0  0  0
 0  0   4132 1411388 406912 21076064    0    0     0   136 2544 1978  4  2 93  0  0  0
 0  0   4132 1409864 406912 21076104    0    0     0   140 4516 3594  7  5 89  0  0  0
 1  0   4132 1408948 406912 21076124    0    0     0   236 2654 2284  4  2 94  0  0  0
 0  0   4132 1406960 406912 21076148    0    0     0    88 2934 2290  5  2 93  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0   4132 1412992 406916 21076176    0    0     0   468 2812 2287  4  2 94  0  0  0
 0  0   4132 1405004 406916 21076196    0    0     0    80 4100 4320  5  3 92  0  0  0
 1  0   4132 1406104 406916 21076236    0    0     0   960 3900 3002  6  4 90  0  0  0
 0  0   4132 1404844 406916 21076268    0    0     0   348 3616 2719  9  3 88  0  0  0
 0  0   4132 1406344 406916 21076288    0    0     0   120 4526 4651  6  3 91  0  0  0
 1  0   4132 1416276 406920 21076296    0    0     0   284 2707 2125  4  2 94  0  0  0
 1  0   4132 1412104 406920 21076344    0    0     0   176 2751 2091  5  2 93  0  0  0
 1  0   4132 1417364 406920 21076344    0    0     0  1052 4072 3129  6  4 90  0  0  0
 0  0   4132 1414340 406920 21076396    0    0     0   248 2944 2267  5  3 92  0  0  0
 0  0   4132 1416172 406920 21076424    0    0     0    88 3198 2448  6  3 91  0  0  0
 1  0   4132 1416480 406920 21076440    0    0     0   344 4214 3960  5  3 91  0  0  0
 1  0   4132 1418456 406920 21076476    0    0     0    80 2551 2129  4  2 94  0  0  0
 1  0   4132 1413768 406920 21076620    0    0     0   208 3865 3151  6  4 90  0  0  0
 0  0   4132 1412068 406920 21076652    0    0     0   316 3669 2566  8  3 88  0  0  0
 1  0   4132 1411088 406920 21076672    0    0     0   112 2808 2206  4  2 93  0  0  0
 0  0   4132 1408820 406920 21076704    0    0     0   148 2703 2170  4  2 93  0  0  0
 1  0   4132 1418008 406920 21076720    0    0     0   112 2754 2096  4  2 94  0  0  0
 0  0   4132 1421048 406920 21076748    0    0     0   960 2740 2116  4  2 94  0  0  0
 0  0   4132 1419352 406920 21076780    0    0     0   280 4032 3079  6  4 89  0  0  0
 1  0   4132 1418376 406920 21076808    0    0     0    88 3072 2376  4  2 93  0  0  0
 0  0   4132 1421284 406920 21076832    0    0     0   448 2829 2228  4  2 94  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0   4132 1414268 406920 21076864    0    0     0    80 3797 3869  5  3 92  0  0  0
 0  0   4132 1414020 406920 21076876    0    0     0   120 2773 2479  4  2 94  0  0  0
 0  0   4132 1401792 406920 21076920    0    0     0   992 5941 6277  7  5 89  0  0  0
 0  0   4132 1406548 406920 21076948    0    0     0   216 3484 2673  9  2 89  0  0  0
 0  0   4132 1406704 406920 21076960    0    0     0   296 2792 2211  4  2 93  0  0  0
 0  0   4132 1404836 406920 21076992    0    0     0   152 2742 2143  4  2 93  0  0  0
 0  0   4132 1403072 406920 21077000    0    0     0    84 2574 2294  4  2 95  0  0  0
 0  0   4132 1398580 406920 21077060    0    0     0  1200 3937 2925  5  3 91  0  0  0
 0  0   4132 1398580 406920 21077076    0    0     0    88 2790 2330  4  2 94  0  0  0
 0  0   4132 1398884 406920 21077108    0    0     0   160 2996 2272  5  2 93  0  0  0
 1  0   4132 1408352 406920 21077128    0    0     0    80 3290 3029  5  2 93  0  0  0
 0  0   4132 1405872 406920 21077160    0    0     0   112 3785 3605  5  3 92  0  0  0
 0  0   4132 1403100 406920 21077184    0    0     0   224 3685 3147  5  3 91  0  0  0
 0  0   4132 1400328 406920 21077220    0    0     0   160 4747 4225  9  3 88  0  0  0
 0  0   4132 1399572 406920 21077224    0    0     0   408 2875 2416  4  2 94  0  0  0
 0  0   4132 1406640 406920 21077268    0    0     0   116 2826 2280  5  2 93  0  0  0
 0  0   4132 1404652 406920 21077272    0    0     0   104 2493 2067  4  2 94  0  0  0
 0  0   4132 1407528 406920 21077316    0    0     0   256 2770 2198  4  3 93  0  0  0
 0  0   4132 1402780 406920 21077332    0    0     0  1080 4321 3165  6  4 90  0  0  0
 2  0   4132 1406028 406920 21077376    0    0     0   344 4062 3929  5  3 92  0  0  0
 1  0   4132 1403268 406920 21077384    0    0     0    80 2728 2290  5  3 93  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0   4132 1412872 406920 21077416    0    0     0   132 2817 2235  5  3 93  0  0  0
 0  0   4132 1410228 406920 21077444    0    0     0   256 2721 2212  4  2 94  0  0  0
 0  0   4132 1404184 406920 21077576    0    0     0   948 4350 3172  9  4 87  0  0  0
 0  0   4132 1401160 406920 21077584    0    0     0   136 3042 2352  5  2 93  0  0  0
 1  0   4132 1400912 406920 21077620    0    0     0   160 2631 2081  4  2 93  0  0  0
 0  0   4132 1399908 406920 21077628    0    0     0    80 2638 2083  4  2 93  0  0  0
 0  0   4132 1404648 406920 21077668    0    0     0   224 2574 2052  4  2 94  0  0  0
 0  0   4132 1400684 406920 21077680    0    0     0   132 3980 3153  6  4 90  0  0  0
