frame_index,time_epoch,src_ip,dst_ip,src_port,dst_port,direction,transaction_id,protocol_id,length,unit_id,function_code,function_base,function_name,is_exception,exception_code,reference_num,quantity,byte_count,value_hex,adu_bytes,tcp_payload_bytes,register_signature
245,1781802249.8740664,PRIVATE_IP_001,PRIVATE_IP_022,35586,502,query,17,0,6,1,3,3,Read Holding Registers,False,,0.0,86.0,,,12,12,fc3:unit1:reg0:qty86:serverPRIVATE_IP_022
246,1781802249.8760335,PRIVATE_IP_001,PRIVATE_IP_022,50432,502,query,171,0,6,1,3,3,Read Holding Registers,False,,97.0,1.0,,,12,12,fc3:unit1:reg97:qty1:serverPRIVATE_IP_022
247,1781802249.8798497,PRIVATE_IP_022,PRIVATE_IP_001,502,35586,response,17,0,175,1,3,3,Read Holding Registers,False,,,,172.0,REDACTED_PAYLOAD,181,181,
249,1781802249.8823538,PRIVATE_IP_001,PRIVATE_IP_022,35586,502,query,18,0,6,1,3,3,Read Holding Registers,False,,94.0,86.0,,,12,12,fc3:unit1:reg94:qty86:serverPRIVATE_IP_022
250,1781802249.8826275,PRIVATE_IP_022,PRIVATE_IP_001,502,50432,response,171,0,5,1,3,3,Read Holding Registers,False,,,,2.0,REDACTED_PAYLOAD,11,11,
251,1781802249.88816,PRIVATE_IP_022,PRIVATE_IP_001,502,35586,response,18,0,175,1,3,3,Read Holding Registers,False,,,,172.0,REDACTED_PAYLOAD,181,181,
261,1781802250.8668268,PRIVATE_IP_001,PRIVATE_IP_022,50432,502,query,172,0,6,1,3,3,Read Holding Registers,False,,94.0,75.0,,,12,12,fc3:unit1:reg94:qty75:serverPRIVATE_IP_022
262,1781802250.874325,PRIVATE_IP_022,PRIVATE_IP_001,502,50432,response,172,0,153,1,3,3,Read Holding Registers,False,,,,150.0,REDACTED_PAYLOAD,159,159,
264,1781802250.8755789,PRIVATE_IP_001,PRIVATE_IP_022,35586,502,query,19,0,6,1,3,3,Read Holding Registers,False,,0.0,86.0,,,12,12,fc3:unit1:reg0:qty86:serverPRIVATE_IP_022
265,1781802250.8843007,PRIVATE_IP_022,PRIVATE_IP_001,502,35586,response,19,0,175,1,3,3,Read Holding Registers,False,,,,172.0,REDACTED_PAYLOAD,181,181,
267,1781802250.88666,PRIVATE_IP_001,PRIVATE_IP_022,35586,502,query,20,0,6,1,3,3,Read Holding Registers,False,,94.0,86.0,,,12,12,fc3:unit1:reg94:qty86:serverPRIVATE_IP_022
268,1781802250.8941555,PRIVATE_IP_022,PRIVATE_IP_001,502,35586,response,20,0,175,1,3,3,Read Holding Registers,False,,,,172.0,REDACTED_PAYLOAD,181,181,
277,1781802251.8555138,PRIVATE_IP_001,PRIVATE_IP_022,50432,502,query,173,0,6,1,3,3,Read Holding Registers,False,,0.0,75.0,,,12,12,fc3:unit1:reg0:qty75:serverPRIVATE_IP_022
278,1781802251.8623164,PRIVATE_IP_022,PRIVATE_IP_001,502,50432,response,173,0,153,1,3,3,Read Holding Registers,False,,,,150.0,REDACTED_PAYLOAD,159,159,
280,1781802251.865376,PRIVATE_IP_001,PRIVATE_IP_022,50432,502,query,174,0,6,1,3,3,Read Holding Registers,False,,3.0,1.0,,,12,12,fc3:unit1:reg3:qty1:serverPRIVATE_IP_022
281,1781802251.872881,PRIVATE_IP_022,PRIVATE_IP_001,502,50432,response,174,0,5,1,3,3,Read Holding Registers,False,,,,2.0,REDACTED_PAYLOAD,11,11,
282,1781802251.874885,PRIVATE_IP_001,PRIVATE_IP_022,35586,502,query,21,0,6,1,3,3,Read Holding Registers,False,,0.0,86.0,,,12,12,fc3:unit1:reg0:qty86:serverPRIVATE_IP_022
283,1781802251.8761628,PRIVATE_IP_001,PRIVATE_IP_022,50432,502,query,175,0,6,1,3,3,Read Holding Registers,False,,97.0,1.0,,,12,12,fc3:unit1:reg97:qty1:serverPRIVATE_IP_022
284,1781802251.8811812,PRIVATE_IP_022,PRIVATE_IP_001,502,35586,response,21,0,175,1,3,3,Read Holding Registers,False,,,,172.0,REDACTED_PAYLOAD,181,181,
286,1781802251.882549,PRIVATE_IP_022,PRIVATE_IP_001,502,50432,response,175,0,5,1,3,3,Read Holding Registers,False,,,,2.0,REDACTED_PAYLOAD,11,11,
287,1781802251.885007,PRIVATE_IP_001,PRIVATE_IP_022,35586,502,query,22,0,6,1,3,3,Read Holding Registers,False,,94.0,86.0,,,12,12,fc3:unit1:reg94:qty86:serverPRIVATE_IP_022
288,1781802251.8911076,PRIVATE_IP_022,PRIVATE_IP_001,502,35586,response,22,0,175,1,3,3,Read Holding Registers,False,,,,172.0,REDACTED_PAYLOAD,181,181,
298,1781802252.8657084,PRIVATE_IP_001,PRIVATE_IP_022,50432,502,query,176,0,6,1,3,3,Read Holding Registers,False,,94.0,75.0,,,12,12,fc3:unit1:reg94:qty75:serverPRIVATE_IP_022
299,1781802252.874236,PRIVATE_IP_022,PRIVATE_IP_001,502,50432,response,176,0,153,1,3,3,Read Holding Registers,False,,,,150.0,REDACTED_PAYLOAD,159,159,
301,1781802252.8752332,PRIVATE_IP_001,PRIVATE_IP_022,35586,502,query,23,0,6,1,3,3,Read Holding Registers,False,,0.0,86.0,,,12,12,fc3:unit1:reg0:qty86:serverPRIVATE_IP_022
302,1781802252.8810947,PRIVATE_IP_022,PRIVATE_IP_001,502,35586,response,23,0,175,1,3,3,Read Holding Registers,False,,,,172.0,REDACTED_PAYLOAD,181,181,
304,1781802252.8834898,PRIVATE_IP_001,PRIVATE_IP_022,35586,502,query,24,0,6,1,3,3,Read Holding Registers,False,,94.0,86.0,,,12,12,fc3:unit1:reg94:qty86:serverPRIVATE_IP_022
