frame_index,time_epoch,src_ip,dst_ip,src_port,dst_port,direction,payload_bytes,syn,fin,rst,ack,probable_retransmission
142,1781802243.9371905,PRIVATE_IP_001,PRIVATE_IP_021,35586,502,query,0,0,0,0,1,0
143,1781802244.4308631,PRIVATE_IP_001,PRIVATE_IP_021,47120,502,query,0,1,0,0,0,0
144,1781802244.4343646,PRIVATE_IP_021,PRIVATE_IP_001,502,47120,response,0,1,0,0,1,0
145,1781802244.4344108,PRIVATE_IP_001,PRIVATE_IP_021,47120,502,query,0,0,0,0,1,0
146,1781802244.4371629,PRIVATE_IP_001,PRIVATE_IP_021,47120,502,query,0,0,1,0,1,0
147,1781802244.439717,PRIVATE_IP_021,PRIVATE_IP_001,502,47120,response,0,0,0,0,1,0
148,1781802244.4439404,PRIVATE_IP_021,PRIVATE_IP_001,502,47120,response,0,0,1,0,1,0
149,1781802244.4439764,PRIVATE_IP_001,PRIVATE_IP_021,47120,502,query,0,0,0,0,1,0
150,1781802244.8649993,PRIVATE_IP_001,PRIVATE_IP_021,50432,502,query,12,0,0,0,1,0
151,1781802244.8719869,PRIVATE_IP_001,PRIVATE_IP_021,35586,502,query,12,0,0,0,1,0
152,1781802244.8742847,PRIVATE_IP_021,PRIVATE_IP_001,502,50432,response,159,0,0,0,1,0
153,1781802244.874389,PRIVATE_IP_001,PRIVATE_IP_021,50432,502,query,0,0,0,0,1,0
154,1781802244.8820024,PRIVATE_IP_021,PRIVATE_IP_001,502,35586,response,181,0,0,0,1,0
155,1781802244.8820987,PRIVATE_IP_001,PRIVATE_IP_021,35586,502,query,0,0,0,0,1,0
156,1781802244.8859036,PRIVATE_IP_001,PRIVATE_IP_021,35586,502,query,12,0,0,0,1,0
157,1781802244.8911169,PRIVATE_IP_021,PRIVATE_IP_001,502,35586,response,181,0,0,0,1,0
158,1781802244.9321737,PRIVATE_IP_001,PRIVATE_IP_021,35586,502,query,0,0,0,0,1,0
159,1781802245.431798,PRIVATE_IP_001,PRIVATE_IP_021,47124,502,query,0,1,0,0,0,0
