request_frame,response_frame,client_ip,server_ip,transaction_id,unit_id,function_code,function_base,function_name,reference_num,quantity,register_signature,request_time_epoch,response_time_epoch,rtt_ms,status,is_exception,exception_code,request_bytes,response_bytes
4776,4777,PRIVATE_IP_001,PRIVATE_IP_019,136,1,3,3,Read Holding Registers,0.0,100.0,fc3:unit1:reg0:qty100:serverPRIVATE_IP_019,1781647194.4672363,1781647194.472156,4.919767379760742,matched,False,,12,209
4779,4780,PRIVATE_IP_001,PRIVATE_IP_018,141,1,3,3,Read Holding Registers,0.0,100.0,fc3:unit1:reg0:qty100:serverPRIVATE_IP_018,1781647194.476604,1781647194.4802008,3.596782684326172,matched,False,,12,209
4801,4830,PRIVATE_IP_001,PRIVATE_IP_017,136,1,3,3,Read Holding Registers,0.0,100.0,fc3:unit1:reg0:qty100:serverPRIVATE_IP_017,1781647194.529149,1781647194.5395164,10.367393493652344,matched,False,,12,209
4802,4810,PRIVATE_IP_001,PRIVATE_IP_025,136,1,4,4,Read Input Registers,0.0,30.0,fc4:unit1:reg0:qty30:serverPRIVATE_IP_025,1781647194.5292134,1781647194.5310845,1.8711090087890625,matched,False,,12,69
4803,4826,PRIVATE_IP_001,PRIVATE_IP_020,136,1,3,3,Read Holding Registers,0.0,100.0,fc3:unit1:reg0:qty100:serverPRIVATE_IP_020,1781647194.5292475,1781647194.537919,8.67152214050293,matched,False,,12,209
4834,4858,PRIVATE_IP_001,PRIVATE_IP_012,209,1,3,3,Read Holding Registers,0.0,22.0,fc3:unit1:reg0:qty22:serverPRIVATE_IP_012,1781647194.5447443,1781647194.5661485,21.404266357421875,matched,False,,12,53
4836,4852,PRIVATE_IP_001,PRIVATE_IP_009,209,1,3,3,Read Holding Registers,0.0,22.0,fc3:unit1:reg0:qty22:serverPRIVATE_IP_009,1781647194.5463223,1781647194.5637684,17.446041107177734,matched,False,,12,53
4837,4850,PRIVATE_IP_001,PRIVATE_IP_014,209,1,3,3,Read Holding Registers,0.0,22.0,fc3:unit1:reg0:qty22:serverPRIVATE_IP_014,1781647194.5463722,1781647194.563669,17.296791076660156,matched,False,,12,53
4838,4869,PRIVATE_IP_001,PRIVATE_IP_013,209,1,3,3,Read Holding Registers,0.0,22.0,fc3:unit1:reg0:qty22:serverPRIVATE_IP_013,1781647194.5475008,1781647194.5745018,27.000904083251953,matched,False,,12,53
4842,4843,PRIVATE_IP_001,PRIVATE_IP_019,209,1,3,3,Read Holding Registers,0.0,76.0,fc3:unit1:reg0:qty76:serverPRIVATE_IP_019,1781647194.5545685,1781647194.5598736,5.305051803588867,matched,False,,12,161
4845,4861,PRIVATE_IP_001,PRIVATE_IP_018,193,1,3,3,Read Holding Registers,53.0,1.0,fc3:unit1:reg53:qty1:serverPRIVATE_IP_018,1781647194.5603554,1781647194.5665529,6.197452545166016,matched,False,,12,11
4846,4856,PRIVATE_IP_001,PRIVATE_IP_017,193,1,3,3,Read Holding Registers,24.0,1.0,fc3:unit1:reg24:qty1:serverPRIVATE_IP_017,1781647194.560426,1781647194.5645711,4.145145416259766,matched,False,,12,11
4847,4875,PRIVATE_IP_001,PRIVATE_IP_016,193,1,3,3,Read Holding Registers,1.0,1.0,fc3:unit1:reg1:qty1:serverPRIVATE_IP_016,1781647194.5604684,1781647194.5796015,19.13309097290039,matched,True,2.0,12,9
4848,4863,PRIVATE_IP_001,PRIVATE_IP_015,129,1,3,3,Read Holding Registers,1.0,1.0,fc3:unit1:reg1:qty1:serverPRIVATE_IP_015,1781647194.562621,1781647194.5695128,6.891727447509766,matched,False,,12,11
4855,4866,PRIVATE_IP_001,PRIVATE_IP_021,89,1,3,3,Read Holding Registers,0.0,75.0,fc3:unit1:reg0:qty75:serverPRIVATE_IP_021,1781647194.5641458,1781647194.57154,7.394313812255859,matched,False,,12,159
4860,4871,PRIVATE_IP_001,PRIVATE_IP_021,179,1,3,3,Read Holding Registers,0.0,86.0,fc3:unit1:reg0:qty86:serverPRIVATE_IP_021,1781647194.566477,1781647194.5765913,10.114192962646484,matched,False,,12,181
4865,4873,PRIVATE_IP_001,PRIVATE_IP_015,130,1,3,3,Read Holding Registers,215.0,1.0,fc3:unit1:reg215:qty1:serverPRIVATE_IP_015,1781647194.5711966,1781647194.5795288,8.332252502441406,matched,False,,12,11
4868,4877,PRIVATE_IP_001,PRIVATE_IP_021,90,1,3,3,Read Holding Registers,3.0,1.0,fc3:unit1:reg3:qty1:serverPRIVATE_IP_021,1781647194.57373,1781647194.5823321,8.602142333984375,matched,False,,12,11
4874,4879,PRIVATE_IP_001,PRIVATE_IP_021,180,1,3,3,Read Holding Registers,94.0,86.0,fc3:unit1:reg94:qty86:serverPRIVATE_IP_021,1781647194.5795615,1781647194.5858212,6.259679794311523,matched,False,,12,181
