frame_index,time_epoch,src_ip,dst_ip,src_port,dst_port,direction,transaction_id,protocol_id,length,unit_id,function_code,function_base,function_name,is_exception,exception_code,reference_num,quantity,byte_count,value_hex,adu_bytes,tcp_payload_bytes,register_signature
343,1781647148.5413017,PRIVATE_IP_001,PRIVATE_IP_018,56656,502,query,170,0,6,1,3,3,Read Holding Registers,False,,24.0,1.0,,,12,12,fc3:unit1:reg24:qty1:serverPRIVATE_IP_018
344,1781647148.541363,PRIVATE_IP_001,PRIVATE_IP_017,44840,502,query,170,0,6,1,3,3,Read Holding Registers,False,,1.0,1.0,,,12,12,fc3:unit1:reg1:qty1:serverPRIVATE_IP_017
345,1781647148.5435102,PRIVATE_IP_020,PRIVATE_IP_001,502,48838,response,186,0,155,1,3,3,Read Holding Registers,False,,,,152.0,REDACTED_PAYLOAD,161,161,
347,1781647148.54431,PRIVATE_IP_018,PRIVATE_IP_001,502,56656,response,170,0,5,1,3,3,Read Holding Registers,False,,,,2.0,REDACTED_PAYLOAD,11,11,
350,1781647148.5450814,PRIVATE_IP_019,PRIVATE_IP_001,502,42228,response,170,0,5,1,3,3,Read Holding Registers,False,,,,2.0,REDACTED_PAYLOAD,11,11,
352,1781647148.5465417,PRIVATE_IP_015,PRIVATE_IP_001,502,59954,response,186,0,47,1,3,3,Read Holding Registers,False,,,,44.0,REDACTED_PAYLOAD,53,53,
354,1781647148.5473056,PRIVATE_IP_010,PRIVATE_IP_001,502,55732,response,186,0,47,1,3,3,Read Holding Registers,False,,,,44.0,REDACTED_PAYLOAD,53,53,
356,1781647148.5493762,PRIVATE_IP_001,PRIVATE_IP_016,57822,502,query,83,0,6,1,3,3,Read Holding Registers,False,,1.0,1.0,,,12,12,fc3:unit1:reg1:qty1:serverPRIVATE_IP_016
357,1781647148.5494242,PRIVATE_IP_001,PRIVATE_IP_022,43602,502,query,253,0,6,1,3,3,Read Holding Registers,False,,0.0,75.0,,,12,12,fc3:unit1:reg0:qty75:serverPRIVATE_IP_022
358,1781647148.5506835,PRIVATE_IP_013,PRIVATE_IP_001,502,57816,response,186,0,47,1,3,3,Read Holding Registers,False,,,,44.0,REDACTED_PAYLOAD,53,53,
360,1781647148.552298,PRIVATE_IP_001,PRIVATE_IP_022,60770,502,query,87,0,6,1,3,3,Read Holding Registers,False,,0.0,86.0,,,12,12,fc3:unit1:reg0:qty86:serverPRIVATE_IP_022
361,1781647148.5533783,PRIVATE_IP_016,PRIVATE_IP_001,502,57822,response,83,0,5,1,3,3,Read Holding Registers,False,,,,2.0,REDACTED_PAYLOAD,11,11,
363,1781647148.5547657,PRIVATE_IP_022,PRIVATE_IP_001,502,43602,response,253,0,153,1,3,3,Read Holding Registers,False,,,,150.0,REDACTED_PAYLOAD,159,159,
365,1781647148.555556,PRIVATE_IP_001,PRIVATE_IP_016,57822,502,query,84,0,6,1,3,3,Read Holding Registers,False,,215.0,1.0,,,12,12,fc3:unit1:reg215:qty1:serverPRIVATE_IP_016
366,1781647148.5569336,PRIVATE_IP_014,PRIVATE_IP_001,502,36868,response,186,0,47,1,3,3,Read Holding Registers,False,,,,44.0,REDACTED_PAYLOAD,53,53,
368,1781647148.5573049,PRIVATE_IP_001,PRIVATE_IP_022,43602,502,query,254,0,6,1,3,3,Read Holding Registers,False,,3.0,1.0,,,12,12,fc3:unit1:reg3:qty1:serverPRIVATE_IP_022
369,1781647148.5598836,PRIVATE_IP_017,PRIVATE_IP_001,502,44840,response,170,0,3,1,131,3,Read Holding Registers,True,2.0,,,,REDACTED_PAYLOAD,9,9,
371,1781647148.5616598,PRIVATE_IP_016,PRIVATE_IP_001,502,57822,response,84,0,5,1,3,3,Read Holding Registers,False,,,,2.0,REDACTED_PAYLOAD,11,11,
372,1781647148.5646636,PRIVATE_IP_022,PRIVATE_IP_001,502,43602,response,254,0,5,1,3,3,Read Holding Registers,False,,,,2.0,REDACTED_PAYLOAD,11,11,
373,1781647148.5670426,PRIVATE_IP_022,PRIVATE_IP_001,502,60770,response,87,0,175,1,3,3,Read Holding Registers,False,,,,172.0,REDACTED_PAYLOAD,181,181,
375,1781647148.571938,PRIVATE_IP_001,PRIVATE_IP_022,43602,502,query,255,0,6,1,3,3,Read Holding Registers,False,,97.0,1.0,,,12,12,fc3:unit1:reg97:qty1:serverPRIVATE_IP_022
376,1781647148.575855,PRIVATE_IP_001,PRIVATE_IP_022,60770,502,query,88,0,6,1,3,3,Read Holding Registers,False,,94.0,86.0,,,12,12,fc3:unit1:reg94:qty86:serverPRIVATE_IP_022
377,1781647148.577422,PRIVATE_IP_022,PRIVATE_IP_001,502,43602,response,255,0,5,1,3,3,Read Holding Registers,False,,,,2.0,REDACTED_PAYLOAD,11,11,
378,1781647148.5858104,PRIVATE_IP_022,PRIVATE_IP_001,502,60770,response,88,0,175,1,3,3,Read Holding Registers,False,,,,172.0,REDACTED_PAYLOAD,181,181,
