source_path_redacted,public_path,action,reason,source_size_bytes
Baseline/Res_SCADA_red/analisis_modbus_v4_tun0_300s/csv/rtt_by_server.csv,Baseline/Res_SCADA_red/analisis_modbus_v4_tun0_300s/csv/rtt_by_server.csv,sanitized_text,text identifiers and sensitive values redacted,1750
Baseline/Res_SCADA_red/analisis_modbus_v4_tun0_300s/csv/run_metadata.csv,Baseline/Res_SCADA_red/analisis_modbus_v4_tun0_300s/csv/run_metadata.csv,sanitized_text,text identifiers and sensitive values redacted,348
Baseline/Res_SCADA_red/analisis_modbus_v4_tun0_300s/csv/tcp_packets.csv,Baseline/Res_SCADA_red/analisis_modbus_v4_tun0_300s/csv/tcp_packets.csv,sanitized_text,text identifiers and sensitive values redacted,2307303
Baseline/Res_SCADA_red/analisis_modbus_v4_tun0_300s/csv/tcp_stability.csv,Baseline/Res_SCADA_red/analisis_modbus_v4_tun0_300s/csv/tcp_stability.csv,sanitized_text,text identifiers and sensitive values redacted,1528
Baseline/Res_SCADA_red/analisis_modbus_v4_tun0_300s/csv/time_buckets.csv,Baseline/Res_SCADA_red/analisis_modbus_v4_tun0_300s/csv/time_buckets.csv,sanitized_text,text identifiers and sensitive values redacted,11561
Baseline/Res_SCADA_red/baseline_PRIVATE_IP_021_20260529_154853/background_pids.txt,Baseline/Res_SCADA_red/baseline_PRIVATE_IP_021_20260529_154853/background_pids.txt,sanitized_text,text identifiers and sensitive values redacted,722
Baseline/Res_SCADA_red/baseline_PRIVATE_IP_021_20260529_154853/commands.log,Baseline/Res_SCADA_red/baseline_PRIVATE_IP_021_20260529_154853/commands.log,sanitized_text,text identifiers and sensitive values redacted,5556
Baseline/Res_SCADA_red/baseline_PRIVATE_IP_021_20260529_154853/metadata.txt,Baseline/Res_SCADA_red/baseline_PRIVATE_IP_021_20260529_154853/metadata.txt,sanitized_text,text identifiers and sensitive values redacted,4451
Baseline/Res_SCADA_red/baseline_PRIVATE_IP_021_20260529_154853/notes.txt,Baseline/Res_SCADA_red/baseline_PRIVATE_IP_021_20260529_154853/notes.txt,sanitized_text,text identifiers and sensitive values redacted,0
Baseline/Res_SCADA_red/baseline_PRIVATE_IP_021_20260529_154853/pcap_file.txt,Baseline/Res_SCADA_red/baseline_PRIVATE_IP_021_20260529_154853/pcap_file.txt,sanitized_text,text identifiers and sensitive values redacted,195
Baseline/Res_SCADA_red/baseline_PRIVATE_IP_021_20260529_154853/README.txt,Baseline/Res_SCADA_red/baseline_PRIVATE_IP_021_20260529_154853/README.txt,sanitized_text,text identifiers and sensitive values redacted,1448
Baseline/Res_SCADA_red/baseline_PRIVATE_IP_021_20260529_154853/csv/cpu_process_summary.csv,Baseline/Res_SCADA_red/baseline_PRIVATE_IP_021_20260529_154853/csv/cpu_process_summary.csv,sanitized_text,text identifiers and sensitive values redacted,1577
Baseline/Res_SCADA_red/baseline_PRIVATE_IP_021_20260529_154853/csv/interface_delta.csv,Baseline/Res_SCADA_red/baseline_PRIVATE_IP_021_20260529_154853/csv/interface_delta.csv,sanitized_text,text identifiers and sensitive values redacted,233
Baseline/Res_SCADA_red/baseline_PRIVATE_IP_021_20260529_154853/csv/key_metrics_compact.csv,Baseline/Res_SCADA_red/baseline_PRIVATE_IP_021_20260529_154853/csv/key_metrics_compact.csv,sanitized_text,text identifiers and sensitive values redacted,2973
Baseline/Res_SCADA_red/baseline_PRIVATE_IP_021_20260529_154853/csv/latency_samples.csv,Baseline/Res_SCADA_red/baseline_PRIVATE_IP_021_20260529_154853/csv/latency_samples.csv,sanitized_text,text identifiers and sensitive values redacted,469242
Baseline/Res_SCADA_red/baseline_PRIVATE_IP_021_20260529_154853/csv/latency_stats.csv,Baseline/Res_SCADA_red/baseline_PRIVATE_IP_021_20260529_154853/csv/latency_stats.csv,sanitized_text,text identifiers and sensitive values redacted,507
Baseline/Res_SCADA_red/baseline_PRIVATE_IP_021_20260529_154853/csv/network_rates.csv,Baseline/Res_SCADA_red/baseline_PRIVATE_IP_021_20260529_154853/csv/network_rates.csv,sanitized_text,text identifiers and sensitive values redacted,908
Baseline/Res_SCADA_red/baseline_PRIVATE_IP_021_20260529_154853/csv/openssl_speed_summary.csv,Baseline/Res_SCADA_red/baseline_PRIVATE_IP_021_20260529_154853/csv/openssl_speed_summary.csv,sanitized_text,text identifiers and sensitive values redacted,725
Baseline/Res_SCADA_red/baseline_PRIVATE_IP_021_20260529_154853/csv/packet_service_counts.csv,Baseline/Res_SCADA_red/baseline_PRIVATE_IP_021_20260529_154853/csv/packet_service_counts.csv,sanitized_text,text identifiers and sensitive values redacted,910
