procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0   2328 1369780 402144 20417024    0    0     0   136 2203 1927  2  2 96  0  0  0
 0  0   2328 1368520 402144 20417044    0    0     0   240 2821 2088  2  3 95  0  0  0
 0  0   2328 1368520 402144 20417076    0    0     0   268 2477 2075  2  2 96  0  0  0
 0  0   2328 1370184 402144 20417096    0    0     0   120 3203 2792  3  3 94  0  0  0
 0  0   2328 1369960 402144 20417116    0    0     0   132 2688 2272  2  2 96  0  0  0
 0  0   2328 1376256 402144 20417136    0    0     0    80 2401 1974  2  2 96  0  0  0
 0  0   2328 1373488 402144 20417196    0    0     0   260 2527 1956  2  3 95  0  0  0
 0  0   2328 1380044 402144 20417204    0    0     0   200 2121 1721  2  1 97  0  0  0
 0  0   2328 1375268 402144 20417268    0    0     0  1296 4283 3218  4  4 92  0  0  0
 0  0   2328 1386308 402144 20417280    0    0     0    92 2291 1838  2  2 96  0  0  0
 0  0   2328 1377600 402144 20417332    0    0     0   112 4417 5224  3  3 94  0  0  0
 0  0   2328 1375840 402148 20417344    0    0     0   236 2083 1775  1  2 97  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 6  0   2328 1372396 402148 20417388    0    0     0   104 4256 4299  6  3 91  0  0  0
 0  0   2328 1367120 402148 20417404    0    0     0   256 4324 2933  4  3 92  0  0  0
 0  0   2328 1370652 402148 20417448    0    0     0   188 3834 4076  3  2 95  0  0  0
 0  0   2328 1370400 402148 20417460    0    0     0    80 2561 2195  2  2 96  0  0  0
 0  0   2328 1368636 402152 20417484    0    0     0   260 2357 2012  2  2 97  0  0  0
 1  0   2328 1367656 402152 20417496    0    0     0    80 2281 1931  2  2 97  0  0  0
 1  0   2328 1365640 402152 20417552    0    0     0  1028 3702 2621  5  4 91  0  0  0
 3  0   2328 1362632 402152 20417576    0    0     0    80 3299 3342  2  3 95  0  0  0
 0  0   2328 1359740 402152 20417620    0    0     0   104 2514 1878  3  2 95  0  0  0
 0  0   2328 1365164 402152 20417628    0    0     0   340 2255 1558  2  2 96  0  0  0
 0  0   2328 1364372 402152 20417664    0    0     0    96 2792 2088  3  2 95  0  0  0
 1  0   2328 1366200 402152 20417680    0    0     0  1152 3557 2552  3  2 95  0  0  0
 1  0   2328 1363720 402152 20417716    0    0     0   100 3356 2852  4  4 92  0  0  0
 0  0   2328 1367128 402152 20417728    0    0     0    88 2083 1679  2  2 97  0  0  0
 0  0   2328 1372108 402152 20417760    0    0     0   100 2426 1938  2  2 95  0  0  0
 0  0   2328 1379668 402152 20417772    0    0     0   240 2308 2079  2  2 97  0  0  0
 0  0   2328 1378916 402152 20417812    0    0     0   272 2128 1735  2  2 97  0  0  0
 0  0   2328 1375908 402152 20417860    0    0     0   308 3371 2814  3  3 94  0  0  0
 0  0   2328 1375908 402152 20417928    0    0     0   120 2473 2194  2  2 96  0  0  0
 0  0   2328 1375908 402152 20417944    0    0     0    84 2168 1839  2  2 97  0  0  0
 0  0   2328 1373920 402152 20417976    0    0     0   256 2227 1979  2  2 96  0  0  0
