frame_index,adu_index,time_epoch,time_s,src_ip,dst_ip,src_port,dst_port,tcp_flags,tcp_seq,tcp_ack,direction,client_ip,server_ip,client_port,server_port,transaction_id,unit_id,function_code,function_base,function_name,is_exception,exception_code,exception_name,start_addr,quantity,byte_count,write_value,tcp_payload_bytes,adu_bytes,pdu_hex,parse_note,register_signature
195,1,1780087736.9278855,1.1800827980041504,PRIVATE_IP_021,PRIVATE_IP_001,502,43314,PA,1281755386,3244923976,Response,PRIVATE_IP_001,PRIVATE_IP_021,43314,502,194,1,3,3,Read Holding Registers,False,,,,,2.0,,11,11,REDACTED_PAYLOAD,ok,PRIVATE_IP_021|U1|FC3|no_addr
196,1,1780087736.929938,1.1821353435516357,PRIVATE_IP_009,PRIVATE_IP_001,502,36786,PA,15252303,1132982481,Response,PRIVATE_IP_001,PRIVATE_IP_009,36786,502,167,1,3,3,Read Holding Registers,False,,,,,44.0,,53,53,REDACTED_PAYLOAD,ok,PRIVATE_IP_009|U1|FC3|no_addr
198,1,1780087736.9302955,1.182492733001709,PRIVATE_IP_014,PRIVATE_IP_001,502,39332,PA,12474408,2299193505,Response,PRIVATE_IP_001,PRIVATE_IP_014,39332,502,167,1,3,3,Read Holding Registers,False,,,,,44.0,,53,53,REDACTED_PAYLOAD,ok,PRIVATE_IP_014|U1|FC3|no_addr
200,1,1780087736.930368,1.1825652122497559,PRIVATE_IP_001,PRIVATE_IP_021,43314,502,PA,3244923976,1281755397,Query,PRIVATE_IP_001,PRIVATE_IP_021,43314,502,195,1,3,3,Read Holding Registers,False,,,97.0,1.0,,,12,12,REDACTED_PAYLOAD,ok,PRIVATE_IP_021|U1|FC3|addr=97|qty=1
201,1,1780087736.932583,1.1847803592681885,PRIVATE_IP_015,PRIVATE_IP_001,502,59014,PA,655793370,2098353307,Response,PRIVATE_IP_001,PRIVATE_IP_015,59014,502,195,1,3,3,Read Holding Registers,False,,,,,246.0,,255,255,REDACTED_PAYLOAD,ok,PRIVATE_IP_015|U1|FC3|no_addr
202,1,1780087736.9332426,1.1854398250579834,PRIVATE_IP_013,PRIVATE_IP_001,502,55738,PA,12874548,23867665,Response,PRIVATE_IP_001,PRIVATE_IP_013,55738,502,167,1,3,3,Read Holding Registers,False,,,,,44.0,,53,53,REDACTED_PAYLOAD,ok,PRIVATE_IP_013|U1|FC3|no_addr
204,1,1780087736.9376442,1.1898415088653564,PRIVATE_IP_001,PRIVATE_IP_015,59014,502,PA,2098353307,655793625,Query,PRIVATE_IP_001,PRIVATE_IP_015,59014,502,196,1,3,3,Read Holding Registers,False,,,125.0,88.0,,,12,12,REDACTED_PAYLOAD,ok,PRIVATE_IP_015|U1|FC3|addr=125|qty=88
205,1,1780087736.9417195,1.1939167976379395,PRIVATE_IP_021,PRIVATE_IP_001,502,43314,PA,1281755397,3244923988,Response,PRIVATE_IP_001,PRIVATE_IP_021,43314,502,195,1,3,3,Read Holding Registers,False,,,,,2.0,,11,11,REDACTED_PAYLOAD,ok,PRIVATE_IP_021|U1|FC3|no_addr
206,1,1780087736.94333,1.1955273151397705,PRIVATE_IP_015,PRIVATE_IP_001,502,59014,PA,655793625,2098353319,Response,PRIVATE_IP_001,PRIVATE_IP_015,59014,502,196,1,3,3,Read Holding Registers,False,,,,,176.0,,185,185,REDACTED_PAYLOAD,ok,PRIVATE_IP_015|U1|FC3|no_addr
222,1,1780087737.7485297,2.0007269382476807,PRIVATE_IP_001,PRIVATE_IP_020,44326,502,PA,1689230226,3476812848,Query,PRIVATE_IP_001,PRIVATE_IP_020,44326,502,78,1,3,3,Read Holding Registers,False,,,0.0,100.0,,,12,12,REDACTED_PAYLOAD,ok,PRIVATE_IP_020|U1|FC3|addr=0|qty=100
