frame_index,time_s,src_ip,dst_ip,src_port,dst_port,direction,payload_bytes,syn,fin,rst,probable_retransmission,flags
247,2.132922410964966,PRIVATE_IP_001,PRIVATE_IP_020,43326,502,Query,0,1,0,0,0,S
248,2.1329479217529297,PRIVATE_IP_001,PRIVATE_IP_015,38306,502,Query,0,1,0,0,0,S
249,2.1329755783081055,PRIVATE_IP_001,PRIVATE_IP_021,42700,502,Query,0,1,0,0,0,S
251,2.1351945400238037,PRIVATE_IP_017,PRIVATE_IP_001,502,54564,Response,0,1,0,0,0,SA
252,2.135237455368042,PRIVATE_IP_001,PRIVATE_IP_017,54564,502,Query,0,0,0,0,0,A
253,2.135352849960327,PRIVATE_IP_021,PRIVATE_IP_001,502,42700,Response,0,1,0,0,0,SA
254,2.1353955268859863,PRIVATE_IP_001,PRIVATE_IP_021,42700,502,Query,0,0,0,0,0,A
255,2.135915756225586,PRIVATE_IP_018,PRIVATE_IP_001,502,38606,Response,0,1,0,0,0,SA
256,2.135946750640869,PRIVATE_IP_001,PRIVATE_IP_018,38606,502,Query,0,0,0,0,0,A
257,2.1359705924987793,PRIVATE_IP_015,PRIVATE_IP_001,502,38304,Response,0,1,0,0,0,SA
258,2.135993242263794,PRIVATE_IP_001,PRIVATE_IP_015,38304,502,Query,0,0,0,0,0,A
259,2.1360151767730713,PRIVATE_IP_020,PRIVATE_IP_001,502,43326,Response,0,1,0,0,0,SA
260,2.1360340118408203,PRIVATE_IP_001,PRIVATE_IP_020,43326,502,Query,0,0,0,0,0,A
262,2.137651205062866,PRIVATE_IP_015,PRIVATE_IP_001,502,38306,Response,0,1,0,0,0,SA
263,2.137681245803833,PRIVATE_IP_001,PRIVATE_IP_015,38306,502,Query,0,0,0,0,0,A
264,2.1414871215820312,PRIVATE_IP_001,PRIVATE_IP_017,54564,502,Query,0,0,1,0,0,FA
265,2.14154052734375,PRIVATE_IP_001,PRIVATE_IP_021,42700,502,Query,0,0,1,0,0,FA
266,2.1415772438049316,PRIVATE_IP_001,PRIVATE_IP_018,38606,502,Query,0,0,1,0,0,FA
267,2.141634702682495,PRIVATE_IP_001,PRIVATE_IP_015,38304,502,Query,0,0,1,0,0,FA
268,2.1416807174682617,PRIVATE_IP_001,PRIVATE_IP_020,43326,502,Query,0,0,1,0,0,FA
269,2.141765594482422,PRIVATE_IP_001,PRIVATE_IP_015,38306,502,Query,0,0,1,0,0,FA
270,2.1434273719787598,PRIVATE_IP_015,PRIVATE_IP_001,502,38304,Response,0,0,0,0,0,A
271,2.1434834003448486,PRIVATE_IP_020,PRIVATE_IP_001,502,43326,Response,0,0,0,0,0,A
272,2.1439085006713867,PRIVATE_IP_017,PRIVATE_IP_001,502,54564,Response,0,0,0,0,0,A
273,2.1440935134887695,PRIVATE_IP_018,PRIVATE_IP_001,502,38606,Response,0,0,0,0,0,A
274,2.1442477703094482,PRIVATE_IP_021,PRIVATE_IP_001,502,42700,Response,0,0,0,0,0,A
275,2.1444101333618164,PRIVATE_IP_015,PRIVATE_IP_001,502,38306,Response,0,0,0,0,0,A
